scenario,year,variable,region,import_region,commodity,sector,subsector,technology,unit,value
tfp1,2017,electicity cost of TnD,Australia_Oceania,,,Power,TnD,,1000 USD/toe,0.8245568971259952
tfp1,2017,electicity generation by technology,Australia_Oceania,,,Power,Coal_Power,,million toe,10.173854758269696
tfp1,2017,electicity cost by technology,Australia_Oceania,,,Power,Coal_Power,,1000 USD/toe,0.9001464406412724
tfp1,2017,electicity generation by technology,Australia_Oceania,,,Power,Oil_Power,,million toe,0.22892948755868162
tfp1,2017,electicity cost by technology,Australia_Oceania,,,Power,Oil_Power,,1000 USD/toe,1.5879079615742406
tfp1,2017,electicity generation by technology,Australia_Oceania,,,Power,Gas_Power,,million toe,4.40239697662932
tfp1,2017,electicity cost by technology,Australia_Oceania,,,Power,Gas_Power,,1000 USD/toe,0.8553432116141377
tfp1,2017,electicity generation by technology,Australia_Oceania,,,Power,Nuclear,,million toe,1.6506309313595955e-7
tfp1,2017,electicity cost by technology,Australia_Oceania,,,Power,Nuclear,,1000 USD/toe,0.0007442401749784919
tfp1,2017,electicity generation by technology,Australia_Oceania,,,Power,Hydro,,million toe,7.2117991244975705
tfp1,2017,electicity cost by technology,Australia_Oceania,,,Power,Hydro,,1000 USD/toe,0.5346192159487195
tfp1,2017,electicity generation by technology,Australia_Oceania,,,Power,Wind,,million toe,5.354884429725826
tfp1,2017,electicity cost by technology,Australia_Oceania,,,Power,Wind,,1000 USD/toe,0.3827521780890376
tfp1,2017,electicity generation by technology,Australia_Oceania,,,Power,Solar,,million toe,1.2895583756318252
tfp1,2017,electicity cost by technology,Australia_Oceania,,,Power,Solar,,1000 USD/toe,0.6015871628544466
tfp1,2017,electicity generation by technology,Australia_Oceania,,,Power,Biomass,,million toe,0.5513635470525694
tfp1,2017,electicity cost by technology,Australia_Oceania,,,Power,Biomass,,1000 USD/toe,0.638314749459611
tfp1,2017,electicity cost of TnD,China,,,Power,TnD,,1000 USD/toe,0.2726573599287114
tfp1,2017,electicity generation by technology,China,,,Power,Coal_Power,,million toe,527.9716276871093
tfp1,2017,electicity cost by technology,China,,,Power,Coal_Power,,1000 USD/toe,0.5429560723207258
tfp1,2017,electicity generation by technology,China,,,Power,Oil_Power,,million toe,1.916148100959641
tfp1,2017,electicity cost by technology,China,,,Power,Oil_Power,,1000 USD/toe,1.0137711440166204
tfp1,2017,electicity generation by technology,China,,,Power,Gas_Power,,million toe,9.041374216213425
tfp1,2017,electicity cost by technology,China,,,Power,Gas_Power,,1000 USD/toe,0.8886101770432733
tfp1,2017,electicity generation by technology,China,,,Power,Nuclear,,million toe,11.120852852876421
tfp1,2017,electicity cost by technology,China,,,Power,Nuclear,,1000 USD/toe,0.885341838964512
tfp1,2017,electicity generation by technology,China,,,Power,Hydro,,million toe,196.07510562734177
tfp1,2017,electicity cost by technology,China,,,Power,Hydro,,1000 USD/toe,0.4569088504105845
tfp1,2017,electicity generation by technology,China,,,Power,Wind,,million toe,12.030345641822768
tfp1,2017,electicity cost by technology,China,,,Power,Wind,,1000 USD/toe,0.9431755854252949
tfp1,2017,electicity generation by technology,China,,,Power,Solar,,million toe,1.6654481837919173
tfp1,2017,electicity cost by technology,China,,,Power,Solar,,1000 USD/toe,1.5764265332341818
tfp1,2017,electicity generation by technology,China,,,Power,Biomass,,million toe,0.09414515698517475
tfp1,2017,electicity cost by technology,China,,,Power,Biomass,,1000 USD/toe,5.450347532964484
tfp1,2017,electicity cost of TnD,Japan,,,Power,TnD,,1000 USD/toe,0.5227597807027343
tfp1,2017,electicity generation by technology,Japan,,,Power,Coal_Power,,million toe,26.133738084627403
tfp1,2017,electicity cost by technology,Japan,,,Power,Coal_Power,,1000 USD/toe,1.5076048100411084
tfp1,2017,electicity generation by technology,Japan,,,Power,Oil_Power,,million toe,14.114280598583912
tfp1,2017,electicity cost by technology,Japan,,,Power,Oil_Power,,1000 USD/toe,0.955916993352201
tfp1,2017,electicity generation by technology,Japan,,,Power,Gas_Power,,million toe,52.43191164122976
tfp1,2017,electicity cost by technology,Japan,,,Power,Gas_Power,,1000 USD/toe,1.190439989216191
tfp1,2017,electicity generation by technology,Japan,,,Power,Nuclear,,million toe,6.80042174429605
tfp1,2017,electicity cost by technology,Japan,,,Power,Nuclear,,1000 USD/toe,0.8605414557569653
tfp1,2017,electicity generation by technology,Japan,,,Power,Hydro,,million toe,4.121437086151451
tfp1,2017,electicity cost by technology,Japan,,,Power,Hydro,,1000 USD/toe,1.8255850737879407
tfp1,2017,electicity generation by technology,Japan,,,Power,Wind,,million toe,0.1622682370190531
tfp1,2017,electicity cost by technology,Japan,,,Power,Wind,,1000 USD/toe,2.4947941854357727
tfp1,2017,electicity generation by technology,Japan,,,Power,Solar,,million toe,1.1427016852165464
tfp1,2017,electicity cost by technology,Japan,,,Power,Solar,,1000 USD/toe,2.867547437870482
tfp1,2017,electicity generation by technology,Japan,,,Power,Biomass,,million toe,0.02289059610340669
tfp1,2017,electicity cost by technology,Japan,,,Power,Biomass,,1000 USD/toe,14.397419852148081
tfp1,2017,electicity cost of TnD,South Korea,,,Power,TnD,,1000 USD/toe,0.309546037651041
tfp1,2017,electicity generation by technology,South Korea,,,Power,Coal_Power,,million toe,16.587642127740015
tfp1,2017,electicity cost by technology,South Korea,,,Power,Coal_Power,,1000 USD/toe,0.946041176911383
tfp1,2017,electicity generation by technology,South Korea,,,Power,Oil_Power,,million toe,0.22868423810899863
tfp1,2017,electicity cost by technology,South Korea,,,Power,Oil_Power,,1000 USD/toe,1.5882851583148556
tfp1,2017,electicity generation by technology,South Korea,,,Power,Gas_Power,,million toe,8.873077140676298
tfp1,2017,electicity cost by technology,South Korea,,,Power,Gas_Power,,1000 USD/toe,0.9328591981073671
tfp1,2017,electicity generation by technology,South Korea,,,Power,Nuclear,,million toe,41.85838726450058
tfp1,2017,electicity cost by technology,South Korea,,,Power,Nuclear,,1000 USD/toe,0.4487137084714838
tfp1,2017,electicity generation by technology,South Korea,,,Power,Hydro,,million toe,0.056890513267680416
tfp1,2017,electicity cost by technology,South Korea,,,Power,Hydro,,1000 USD/toe,1.6746843959382427
tfp1,2017,electicity generation by technology,South Korea,,,Power,Wind,,million toe,0.010178172059036632
tfp1,2017,electicity cost by technology,South Korea,,,Power,Wind,,1000 USD/toe,3.479322716664274
tfp1,2017,electicity generation by technology,South Korea,,,Power,Solar,,million toe,0.02166462981090379
tfp1,2017,electicity cost by technology,South Korea,,,Power,Solar,,1000 USD/toe,4.50396061203004
tfp1,2017,electicity generation by technology,South Korea,,,Power,Biomass,,million toe,0.05267838149893304
tfp1,2017,electicity cost by technology,South Korea,,,Power,Biomass,,1000 USD/toe,2.8715358708667917
tfp1,2017,electicity cost of TnD,Rest of World,,,Power,TnD,,1000 USD/toe,0.2572414535741795
tfp1,2017,electicity generation by technology,Rest of World,,,Power,Coal_Power,,million toe,2.461966138488069
tfp1,2017,electicity cost by technology,Rest of World,,,Power,Coal_Power,,1000 USD/toe,0.6888741798566487
tfp1,2017,electicity generation by technology,Rest of World,,,Power,Oil_Power,,million toe,0.008214550046027311
tfp1,2017,electicity cost by technology,Rest of World,,,Power,Oil_Power,,1000 USD/toe,2.0561153346608014
tfp1,2017,electicity generation by technology,Rest of World,,,Power,Gas_Power,,million toe,0.02726489352689115
tfp1,2017,electicity cost by technology,Rest of World,,,Power,Gas_Power,,1000 USD/toe,0.858730723128897
tfp1,2017,electicity generation by technology,Rest of World,,,Power,Nuclear,,million toe,4.16787903886369e-6
tfp1,2017,electicity cost by technology,Rest of World,,,Power,Nuclear,,1000 USD/toe,0.0012965688628081438
tfp1,2017,electicity generation by technology,Rest of World,,,Power,Hydro,,million toe,1.8745124361001608
tfp1,2017,electicity cost by technology,Rest of World,,,Power,Hydro,,1000 USD/toe,0.4402775981108749
tfp1,2017,electicity generation by technology,Rest of World,,,Power,Wind,,million toe,0.010838689979592381
tfp1,2017,electicity cost by technology,Rest of World,,,Power,Wind,,1000 USD/toe,0.918246256646976
tfp1,2017,electicity generation by technology,Rest of World,,,Power,Solar,,million toe,0.0013756789992757582
tfp1,2017,electicity cost by technology,Rest of World,,,Power,Solar,,1000 USD/toe,1.0309770582367572
tfp1,2017,electicity generation by technology,Rest of World,,,Power,Biomass,,million toe,0.0009863706550117552
tfp1,2017,electicity cost by technology,Rest of World,,,Power,Biomass,,1000 USD/toe,1.7218784123753503
tfp1,2017,electicity cost of TnD,Southeast Asia,,,Power,TnD,,1000 USD/toe,0.3577953262263515
tfp1,2017,electicity generation by technology,Southeast Asia,,,Power,Coal_Power,,million toe,29.975167070962858
tfp1,2017,electicity cost by technology,Southeast Asia,,,Power,Coal_Power,,1000 USD/toe,0.9700535143345623
tfp1,2017,electicity generation by technology,Southeast Asia,,,Power,Oil_Power,,million toe,7.304069182128471
